Years_Relative_to_Diagnosis,Chi_AD_Alzheimers,Chi_DLB_LewyBody,Chi_VaD_Vascular
-10.0,0.8813017718995253,1.0084434505466648,0.9787850745699623
-9.969939879759519,0.8808045581486298,0.9186141823314364,0.9776429324998013
-9.939879759519037,0.880296349778924,0.5824495774584136,0.9684264086236245
-9.909819639278558,0.8797769721075709,0.816249139295124,0.9385422555644496
-9.879759519038076,0.8792462496755563,0.9142522858751183,0.975500982018667
-9.849699398797595,0.8787040063077061,0.7168694962209288,0.9434233591999994
-9.819639278557114,0.8781500651746961,0.8688109355093107,0.9470731838903119
-9.789579158316633,0.877584248857069,0.8496249491271368,0.9711687328501186
-9.759519038076153,0.8770063794112628,0.8385857141042821,0.947778391147454
-9.729458917835672,0.87641627843766,0.8165755346413572,0.9492223773380737
-9.69939879759519,0.8758137671506634,0.9127498698033445,0.9435527301552207
-9.669338677354709,0.8751986664508019,1.0334705542462714,0.9366846853763134
-9.639278557114228,0.8745707969988719,0.7136438781218766,0.9359075999106481
-9.609218436873748,0.8739299792921108,1.0181839230067862,0.9429247453859628
-9.579158316633267,0.873276033742408,0.903906700852575,0.9530385484171174
-9.549098196392785,0.8726087807565465,0.9421619952522462,0.943915996596433
-9.519038076152304,0.8719280408184759,0.7107691133175267,0.9264229126167309
-9.488977955911825,0.8712336345736077,0.9074657848973099,0.9470173458678866
-9.458917835671343,0.8705253829151293,1.1158578795364287,0.9454980629931079
-9.428857715430862,0.8698031070723251,0.7372133252538902,0.9514030874754694
-9.39879759519038,0.8690666287008972,0.6085344931712081,0.9590413445714622
-9.3687374749499,0.8683157699752693,0.6496788012251942,0.9558813851572376
-9.338677354709418,0.8675503536828637,0.9570456664577582,0.9334497997424739
-9.308617234468938,0.8667702033203327,1.2807688223655347,0.9334305756620632
-9.278557114228457,0.8659751431917261,1.0973827987931792,0.9401498507319077
-9.248496993987976,0.865164998508577,1.185423660996071,0.9349675911815511
-9.218436873747494,0.8643395954918803,0.9549791592645459,0.918232383680894
-9.188376753507015,0.8634987614759437,1.1552377613293454,0.9406253857342997
-9.158316633266534,0.8626423250140809,0.9101180883960568,0.9213776306519935
-9.128256513026052,0.8617701159861223,1.0478693186211818,0.9247300627299053
-9.098196392785571,0.8608819657077105,0.9206725712250641,0.9251950273570887
-9.06813627254509,0.8599777070413492,0.8830356719348862,0.9289376805307289
-9.03807615230461,0.8590571745091703,0.9897637138235348,0.9273560452460452
-9.008016032064129,0.8581202044073818,0.902609192809254,0.9317810788838593
-8.977955911823647,0.8571666349223597,1.1742069843247784,0.9447952022885553
